name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
bert/encoder/layer_0/attention/output/LayerNorm/moments/SquaredDifference__309_kernel_time,Mul,CPUExecutionProvider,119,13,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/output/LayerNorm/moments/variance_kernel_time,ReduceMean,CPUExecutionProvider,120,9,786432,1024,"[{""float"": [256, 768]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/add_kernel_time,Add,CPUExecutionProvider,121,2,1024,1024,"[{""float"": [256, 1]}, {""float"": []}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/Rsqrt_kernel_time,Sqrt,CPUExecutionProvider,122,0,1024,1024,"[{""float"": [256, 1]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/Rsqrt__311_kernel_time,Reciprocal,CPUExecutionProvider,123,0,1024,1024,"[{""float"": [256, 1]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_kernel_time,Mul,CPUExecutionProvider,124,16,1024,786432,"[{""float"": [256, 1]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_2_kernel_time,Mul,CPUExecutionProvider,126,17,787456,786432,"[{""float"": [256, 1]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/sub_kernel_time,Sub,CPUExecutionProvider,127,19,786432,786432,"[{""float"": [768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_1_kernel_time,Mul,CPUExecutionProvider,125,18,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/add_1_kernel_time,Add,CPUExecutionProvider,128,18,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/intermediate/dense/MatMul_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1350,644,786432,3145728,"[{""float"": [256, 768]}, {""float"": [3072]}, {""int8"": [3072]}, {""float"": [3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_0/intermediate/dense/Pow_kernel_time,Pow,CPUExecutionProvider,135,192,3145728,3145728,"[{""float"": [256, 3072]}, {""float"": []}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_0/intermediate/dense/mul_kernel_time,Mul,CPUExecutionProvider,136,55,3145728,3145728,"[{""float"": []}, {""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_0/intermediate/dense/add_kernel_time,Add,CPUExecutionProvider,137,72,6291456,3145728,"[{""float"": [256, 3072]}, {""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_0/intermediate/dense/mul_1_kernel_time,Mul,CPUExecutionProvider,138,48,3145728,3145728,"[{""float"": []}, {""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_0/intermediate/dense/Tanh_kernel_time,Tanh,CPUExecutionProvider,139,171,3145728,3145728,"[{""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_0/intermediate/dense/add_1_kernel_time,Add,CPUExecutionProvider,140,48,3145728,3145728,"[{""float"": []}, {""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_0/intermediate/dense/mul_2_kernel_time,Mul,CPUExecutionProvider,141,48,3145728,3145728,"[{""float"": []}, {""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_0/intermediate/dense/mul_3_kernel_time,Mul,CPUExecutionProvider,142,72,6291456,3145728,"[{""float"": [256, 3072]}, {""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_0/output/dense/MatMul_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1351,769,3145728,786432,"[{""float"": [256, 3072]}, {""float"": [768]}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/output/add_kernel_time,Add,CPUExecutionProvider,149,21,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/output/LayerNorm/moments/mean_kernel_time,ReduceMean,CPUExecutionProvider,150,9,786432,1024,"[{""float"": [256, 768]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/output/LayerNorm/moments/SquaredDifference_kernel_time,Sub,CPUExecutionProvider,151,16,787456,786432,"[{""float"": [256, 768]}, {""float"": [256, 1]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/output/LayerNorm/moments/SquaredDifference__313_kernel_time,Mul,CPUExecutionProvider,152,12,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/output/LayerNorm/moments/variance_kernel_time,ReduceMean,CPUExecutionProvider,153,9,786432,1024,"[{""float"": [256, 768]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/output/LayerNorm/batchnorm/add_kernel_time,Add,CPUExecutionProvider,154,2,1024,1024,"[{""float"": [256, 1]}, {""float"": []}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/output/LayerNorm/batchnorm/Rsqrt_kernel_time,Sqrt,CPUExecutionProvider,155,0,1024,1024,"[{""float"": [256, 1]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/output/LayerNorm/batchnorm/Rsqrt__315_kernel_time,Reciprocal,CPUExecutionProvider,156,0,1024,1024,"[{""float"": [256, 1]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_kernel_time,Mul,CPUExecutionProvider,157,16,1024,786432,"[{""float"": [256, 1]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_2_kernel_time,Mul,CPUExecutionProvider,159,17,787456,786432,"[{""float"": [256, 1]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/output/LayerNorm/batchnorm/sub_kernel_time,Sub,CPUExecutionProvider,160,19,786432,786432,"[{""float"": [768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_1_kernel_time,Mul,CPUExecutionProvider,158,18,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/output/LayerNorm/batchnorm/add_1_kernel_time,Add,CPUExecutionProvider,161,18,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/output/LayerNorm/batchnorm/add_1:0_QuantizeLinear_kernel_time,DynamicQuantizeLinear,CPUExecutionProvider,162,45,786432,196613,"[{""float"": [256, 768]}]","[{""uint8"": [256, 768]}, {""float"": []}, {""uint8"": []}]"
bert/encoder/layer_1/attention/self/value/MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1271,621,196613,786432,"[{""uint8"": [256, 768]}, {""float"": []}, {""float"": [768]}, {""uint8"": []}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_1/attention/self/Reshape_2_kernel_time,Reshape,CPUExecutionProvider,194,1,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_1/attention/self/transpose_2_kernel_time,Transpose,CPUExecutionProvider,195,25,786432,786432,"[{""float"": [1, 256, 12, 64]}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_1/attention/self/transpose_2:0_QuantizeLinear_kernel_time,DynamicQuantizeLinear,CPUExecutionProvider,197,44,786432,196613,"[{""float"": [1, 12, 256, 64]}]","[{""uint8"": [1, 12, 256, 64]}, {""float"": []}, {""uint8"": []}]"
bert/encoder/layer_1/attention/self/query/MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1272,629,196613,786432,"[{""uint8"": [256, 768]}, {""float"": []}, {""float"": [768]}, {""uint8"": []}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_1/attention/self/Reshape_kernel_time,Reshape,CPUExecutionProvider,179,1,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_1/attention/self/transpose_kernel_time,Transpose,CPUExecutionProvider,180,28,786432,786432,"[{""float"": [1, 256, 12, 64]}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_1/attention/self/key/MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1273,710,196613,786432,"[{""uint8"": [256, 768]}, {""float"": []}, {""float"": [768]}, {""uint8"": []}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_1/attention/self/Reshape_1_kernel_time,Reshape,CPUExecutionProvider,170,1,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
